string
description: W
filedata_intensity/210205_PM040653_calibrated_analytical cal:filter / ccd / qe see cal files
eV Nphoton/s *sr @ 0.1%bw
802.125 46475076649.914154
802.3461303710938 46861671030.63781
802.5674438476562 46923489718.12402
802.7887573242188 46674245453.36975
803.01025390625 46520103453.805504
803.2317504882812 46403793242.171745
803.4534301757812 46384353736.93596
803.6751708984375 46372299116.77768
803.8970947265625 46440686077.23623
804.1190185546875 46445923444.89304
804.341064453125 46311969314.20055
804.5632934570312 46318017728.435295
804.7855224609375 46259540106.88429
805.0079345703125 46432971413.28557
805.2303466796875 46186015712.276405
805.4530639648438 46145845018.972115
805.6757202148438 46266064410.43732
805.8984985351562 46086503178.504295
806.1213989257812 46006431768.175964
806.3444213867188 45816806967.607
806.5675048828125 45683441482.823875
806.7907104492188 45785410116.501335
807.0140991210938 45990492882.50583
807.237548828125 45777720501.27339
807.4609985351562 45436230281.37133
807.6846923828125 45392141442.12923
807.908447265625 45462039406.59252
808.1322021484375 45515673088.19372
808.3561401367188 45533495469.90868
808.5802001953125 45540585342.54697
808.8043823242188 45251967159.23485
809.0286254882812 45188362075.314125
809.2530517578125 45381381333.47012
809.4775390625 45264938161.63842
809.7020263671875 45020771323.97497
809.9267578125 45015299833.25906
810.1515502929688 44941253242.45424
810.3764038085938 45128836889.997986
810.6014404296875 45222667051.79682
810.8265380859375 45087923215.19349
811.0517578125 44921864006.64659
811.2770385742188 44824020855.692505
811.50244140625 44696523239.942
811.72802734375 44648783694.36279
811.9536743164062 44901009440.238976
812.1793823242188 45045987512.1155
812.4052124023438 44779070205.341225
812.6311645507812 44572160846.04119
812.8572387695312 44473652552.71708
813.0834350585938 44434616514.00303
813.3096313476562 44364730833.36287
813.5360107421875 44402328757.32939
813.7625122070312 44385797664.45729
813.9891357421875 44779080769.83689
814.2157592773438 44784003150.4298
814.442626953125 44433593730.93152
814.6694946289062 44242614393.016045
814.8965454101562 44222184626.352
815.1236572265625 43980662928.391464
815.3508911132812 43755364599.61506
815.5781860351562 43873982543.968666
815.8056640625 43642866448.74278
816.033203125 43494085532.70074
816.2608032226562 43339661577.61575
816.4886474609375 43338985451.46613
816.716552734375 43259511495.411064
816.9445190429688 43093474113.01568
817.172607421875 42898688680.253555
817.4007568359375 42792108854.88385
817.6290893554688 42553948530.47775
817.8575439453125 42610114051.508385
818.0859985351562 42596308567.984886
818.3146362304688 42550902596.72264
818.5433349609375 42589175011.382454
818.772216796875 42308747752.49788
819.0011596679688 42233044845.978966
819.2301635742188 42193553038.10027
819.4594116210938 42343466965.81727
819.6886596679688 42309568212.575745
819.9180297851562 42071074709.359436
820.1475219726562 41772716256.1066
820.3771362304688 41570459548.02527
820.6068725585938 41542851234.31051
820.836669921875 41624732172.87806
821.0665893554688 41505699581.57061
821.2966918945312 41551991149.24015
821.5267333984375 41440507792.41148
821.757080078125 41297224474.3501
821.9873657226562 41252560540.25327
822.2178344726562 41409098608.07021
822.4484252929688 41478810609.2959
822.6791381835938 41058551971.94841
822.909912109375 40905167908.79358
823.140869140625 41107476662.553955
823.371826171875 41328530292.57177
823.60302734375 41607181541.02969
823.8341674804688 41543979778.362114
824.0655517578125 41507827121.141785
824.2970581054688 41199272788.594635
824.528564453125 41272006738.771835
824.76025390625 41342334138.96296
824.9921264648438 41361145413.85667
825.2239379882812 41165334893.02177
825.4559326171875 40955622592.524376
825.6881103515625 41055693838.33259
825.9202880859375 41167805120.25502
826.1527099609375 41298715807.6428
826.3851318359375 41044541216.05017
826.61767578125 41173519560.72429
826.850341796875 41319254570.422935
827.0831298828125 41406745855.60258
827.3159790039062 41263443868.074036
827.5490112304688 41331664012.93899
827.7821044921875 41256430166.91197
828.0153198242188 41435496755.78201
828.2487182617188 41526360928.11541
828.4821166992188 41687418516.93057
828.7156982421875 41959778886.30059
828.9494018554688 41828935576.73844
829.1831665039062 41758286387.03032
829.4170532226562 41918260320.421074
829.6510009765625 41716754688.53629
829.8851928710938 41516203120.02345
830.119384765625 41481901225.99384
830.3536987304688 41504329252.68965
830.5881958007812 41640634901.60363
830.82275390625 41594348307.274734
831.057373046875 41709082967.80295
831.292236328125 41823719686.743324
831.5271606445312 41384150055.70061
831.7620849609375 41084128536.52591
831.9972534179688 41056975613.58195
832.232421875 40895783070.66421
832.4678344726562 41144491132.38561
832.7033081054688 40960161847.4593
832.9389038085938 41069420516.15627
833.1746215820312 41111050212.61119
833.410400390625 40423562960.6262
833.646240234375 39952102007.17233
833.88232421875 40134791419.80522
834.1184692382812 40131176517.20646
834.354736328125 40093495837.93868
834.5911254882812 40119043259.01825
834.8275756835938 40001575555.44407
835.0640869140625 39895160795.72994
835.3009033203125 40000082402.29451
835.5376586914062 39596988573.03387
835.7745971679688 39225316295.523735
